simulation_number,day,avg_resources,total_thefts,agents_alive,count_PusilanimeAgent,count_ThiefAgent,count_TipForTapAgent,count_TipForTapSecureAgent,count_RandomAgent,count_ABRAgent,count_SearchAgent,count_ResentfulAgent,count_ExploteAgent,avg_resources_PusilanimeAgent,avg_resources_ThiefAgent,avg_resources_TipForTapAgent,avg_resources_TipForTapSecureAgent,avg_resources_RandomAgent,avg_resources_ABRAgent,avg_resources_SearchAgent,avg_resources_ResentfulAgent,avg_resources_ExploteAgent
32,270,5957.456647398844,5606,173,2,20,6,8,12,92,11,21,1,6776.5,7427.0,6759.666666666667,7891.25,7512.083333333333,5299.097826086957,7137.909090909091,4884.619047619048,6103.0
32,360,7088.493392070484,8606,227,2,46,6,8,12,115,16,21,1,9308.5,5699.0,9001.833333333334,10476.625,10323.666666666666,6750.313043478261,7866.8125,7422.952380952381,8572.0
32,450,7416.937269372694,13602,271,2,67,6,8,12,133,21,21,1,9893.5,5305.373134328358,9739.833333333334,11529.125,12004.416666666666,7371.413533834587,7305.952380952381,9403.714285714286,8717.0
32,540,8154.907936507937,20500,315,2,77,6,8,12,162,26,21,1,10665.5,6083.831168831169,10871.333333333334,13142.625,13557.416666666666,7990.740740740741,7390.961538461538,11873.142857142857,9951.0
32,630,8917.108938547486,28014,358,2,84,6,8,12,194,30,21,1,11751.0,7063.083333333333,12133.0,14774.375,15242.75,8509.778350515464,8086.766666666666,14182.047619047618,10295.0
32,720,10752.421307506052,36285,413,2,93,6,8,12,234,35,22,1,14009.0,9208.516129032258,14390.666666666666,17778.25,18455.666666666668,10130.128205128205,9894.857142857143,17124.272727272728,12798.0
10,1,616.02,5,50,8,5,10,4,4,6,6,3,4,562.125,772.8,605.5,636.25,645.25,600.0,556.3333333333334,697.6666666666666,557.0
10,90,1949.0967741935483,1777,93,8,22,10,4,11,9,19,6,4,1283.125,2074.181818181818,1551.4,2106.5,2002.5454545454545,2236.6666666666665,2046.2105263157894,2464.3333333333335,1401.75
10,180,2611.3695652173915,4706,138,7,21,10,4,11,34,24,23,4,1781.0,2426.9523809523807,2345.4,3638.0,3081.090909090909,2495.264705882353,2954.6666666666665,2737.5652173913045,1580.75
10,270,3627.9725274725274,7542,182,7,21,10,4,11,58,28,39,4,2909.8571428571427,3393.904761904762,3756.8,5652.5,4624.0,3398.0172413793102,3926.8214285714284,3581.128205128205,2727.0
10,360,5402.457627118644,10678,236,7,21,10,4,11,87,33,59,4,5251.428571428572,6122.619047619048,6514.8,8683.75,7695.181818181818,4811.413793103448,5945.969696969697,4897.593220338983,5336.75
10,450,7302.839285714285,13689,280,7,21,10,4,11,111,37,75,4,8004.428571428572,9012.666666666666,9436.4,11665.25,10586.0,6525.360360360361,8087.243243243243,6484.573333333334,8035.25
10,540,9811.459701492537,17070,335,7,24,10,4,11,141,38,96,4,11846.857142857143,12121.791666666666,13166.4,15832.0,14846.363636363636,8791.574468085106,11965.657894736842,8470.697916666666,11798.0
10,630,11043.617414248021,20936,379,7,28,10,4,11,165,38,112,4,14220.714285714286,13270.142857142857,15396.8,18449.0,17353.909090909092,9873.933333333332,14675.763157894737,9392.473214285714,14232.5
10,720,13282.831797235023,24914,434,7,34,10,4,12,195,38,130,4,17983.714285714286,15080.676470588236,19051.6,22383.25,19589.5,12017.779487179487,18678.36842105263,11434.407692307692,17819.75
8,1,620.66,3,50,6,1,7,5,5,5,6,7,8,602.3333333333334,653.0,644.5714285714286,598.4,605.2,655.8,628.6666666666666,622.8571428571429,603.125
8,90,3681.4193548387098,1001,93,6,5,8,5,19,5,24,13,8,4644.5,3438.4,4503.75,4409.4,3141.842105263158,4874.2,3025.5416666666665,3506.230769230769,4622.0
8,180,4882.675675675676,3180,148,6,10,8,5,28,11,33,39,8,7114.333333333333,3946.9,7397.25,7331.6,4804.785714285715,4351.909090909091,5045.757575757576,3622.6153846153848,6806.0
8,270,6156.432291666667,6026,192,6,14,8,5,32,21,35,63,8,9032.5,4312.714285714285,9967.5,10186.8,6283.25,4787.0952380952385,7021.142857142857,5091.714285714285,8584.625
8,360,6814.426829268293,9215,246,6,14,8,5,34,43,35,93,8,10682.5,5247.785714285715,11980.0,12558.4,7699.235294117647,4268.209302325581,8848.685714285713,5832.881720430108,10335.5
8,450,7355.81724137931,12243,290,6,14,8,5,34,63,35,117,8,11894.833333333334,5908.0,13589.5,14277.0,9034.764705882353,4551.666666666667,10156.628571428571,6455.51282051282,11786.375
8,540,9052.462209302326,15460,344,6,14,8,5,34,88,35,146,8,14914.333333333334,8074.428571428572,16832.125,17504.0,11935.64705882353,6030.261363636364,12897.628571428571,8106.527397260274,14737.125
8,630,11719.136597938144,18845,388,6,14,8,5,34,108,35,170,8,18671.5,11387.5,20924.125,21784.2,15697.823529411764,8600.324074074075,16536.02857142857,10645.458823529412,18525.875
8,720,12246.519187358916,21889,443,6,14,8,5,34,133,35,200,8,20703.833333333332,13193.57142857143,23059.5,24069.0,17521.558823529413,9053.864661654135,18581.77142857143,10984.375,20540.0
30,1,507.48,7,50,6,5,7,7,7,3,7,6,2,522.8333333333334,546.4,497.14285714285717,520.8571428571429,462.85714285714283,431.3333333333333,522.8571428571429,502.0,586.5
30,90,2966.978723404255,1777,94,8,20,7,8,16,6,18,9,2,2413.75,2831.65,2842.1428571428573,3133.125,2911.4375,2905.1666666666665,3208.9444444444443,3451.4444444444443,2577.5
30,180,3074.135135135135,4820,148,7,23,7,9,21,18,25,36,2,2788.1428571428573,2511.8260869565215,3417.5714285714284,4393.444444444444,3250.4285714285716,2745.0,3609.96,2806.972222222222,2625.0
30,270,4244.570680628272,8016,191,7,22,7,13,25,30,25,60,2,4112.142857142857,2844.409090909091,5332.285714285715,5400.076923076923,4329.88,3870.3333333333335,5188.56,4167.95,3838.0
30,360,4376.073770491803,11111,244,7,20,7,18,25,45,26,94,2,4871.857142857143,3032.0,6338.571428571428,5193.166666666667,5178.12,3711.9555555555557,5797.384615384615,4042.255319148936,3988.5
30,450,5914.986111111111,14182,288,7,20,7,22,25,57,26,122,2,6981.857142857143,4182.2,8700.0,6657.545454545455,7215.76,5133.9473684210525,7806.538461538462,5532.581967213115,6329.5
30,540,7211.66472303207,17338,343,7,20,7,27,25,72,26,157,2,9121.857142857143,5451.35,11114.857142857143,7829.925925925926,9376.96,6315.541666666667,9664.423076923076,6709.598726114649,8842.0
30,630,9670.813953488372,20628,387,7,20,7,31,25,84,26,185,2,12469.142857142857,7771.6,14588.857142857143,10302.774193548386,12438.48,8704.404761904761,12731.615384615385,9087.216216216217,12046.0
30,720,11152.885583524028,23892,437,7,20,7,36,25,98,26,216,2,15135.57142857143,9490.6,17498.571428571428,11570.361111111111,14771.96,10115.612244897959,15017.538461538461,10459.314814814816,14365.0
26,1,599.78,7,50,4,6,10,4,4,5,7,4,6,610.25,601.3333333333334,635.9,520.25,620.0,564.6,578.0,614.25,615.6666666666666
26,90,2308.5913978494623,1800,93,4,20,11,4,12,15,15,6,6,2377.5,2085.65,2532.909090909091,3008.0,2050.6666666666665,2038.7333333333333,2288.4,2928.0,2749.8333333333335
26,180,3821.441379310345,4476,145,4,20,11,4,17,40,20,23,6,4138.75,3624.7,4693.363636363636,5769.5,3890.823529411765,3420.25,4225.45,3210.9565217391305,4840.0
26,270,5302.724867724868,7393,189,4,20,11,4,21,60,24,39,6,6172.25,5926.45,6764.090909090909,8293.25,5334.380952380952,4785.283333333334,5766.333333333333,4433.948717948718,6827.333333333333
26,360,6420.19262295082,10350,244,4,21,11,4,25,85,29,59,6,8351.5,7954.0952380952385,9223.181818181818,10786.75,6745.68,5718.823529411765,7029.275862068966,5235.220338983051,9002.333333333334
26,450,9332.34375,13933,288,4,22,11,4,28,105,33,75,6,12437.75,11856.272727272728,13153.90909090909,15033.0,9742.5,8514.066666666668,10080.121212121212,7933.053333333333,12985.166666666666
26,540,10414.516034985423,17707,343,4,22,11,4,38,130,33,95,6,14946.0,14671.545454545454,15876.636363636364,17850.5,9614.894736842105,9484.776923076923,12775.121212121212,8741.505263157895,15527.833333333334
26,630,12081.638242894056,21443,387,4,22,11,4,46,150,33,111,6,17638.0,17821.227272727272,18757.272727272728,20895.0,10868.565217391304,11076.193333333333,15811.515151515152,10183.504504504504,18255.5
26,720,12060.638009049773,25750,442,4,22,11,4,56,175,33,131,6,19132.25,19475.227272727272,20170.090909090908,22435.75,10487.32142857143,11014.017142857143,17425.21212121212,9970.015267175573,19726.166666666668
51,1,496.82,6,50,11,6,9,5,5,6,1,5,2,499.6363636363636,538.6666666666666,449.6666666666667,522.0,448.6,474.1666666666667,653.0,580.0,407.5
51,90,2536.1170212765956,1715,94,13,29,10,5,11,9,4,11,2,2506.3846153846152,2278.206896551724,2653.7,3380.6,2635.181818181818,3166.8888888888887,2321.75,2332.818181818182,1933.5
51,180,2610.751724137931,4990,145,13,36,10,5,11,29,5,34,2,2661.769230769231,1949.5277777777778,3009.8,5115.0,3647.2727272727275,2475.551724137931,3082.8,2549.3823529411766,2048.0
51,270,4604.492063492064,8572,189,13,36,10,5,11,53,5,54,2,4729.538461538462,3626.527777777778,5324.8,8300.6,6098.272727272727,4110.018867924528,5401.4,4883.851851851852,3906.0
51,360,5801.131147540984,11844,244,13,36,10,5,11,83,5,79,2,6484.692307692308,5561.416666666667,7642.6,10697.8,8409.636363636364,4832.903614457831,7522.0,5804.506329113924,5623.0
51,450,7190.184027777777,15282,288,13,36,10,5,11,107,5,99,2,8448.076923076924,7966.638888888889,9647.9,13230.2,10891.90909090909,5996.009345794392,9598.8,6942.757575757576,7404.0
51,540,9738.186588921282,18816,343,13,36,10,5,11,137,5,124,2,12125.076923076924,12378.277777777777,13623.5,17232.0,14649.454545454546,8293.642335766423,13777.2,9079.741935483871,11206.0
51,630,10563.187012987013,22074,385,13,36,10,5,11,161,5,142,2,14077.307692307691,14842.805555555555,15450.6,19400.0,16802.909090909092,8946.149068322982,16043.0,9622.61971830986,13093.0
51,720,10780.561363636363,25387,440,13,36,10,5,11,191,5,167,2,15617.923076923076,16995.722222222223,17114.2,21307.6,18719.454545454544,9129.979057591623,18192.8,9463.215568862275,14913.5
35,1,511.48,12,50,5,11,6,2,5,6,7,1,7,498.8,558.0,507.5,415.5,578.4,424.0,496.0,606.0,507.42857142857144
35,90,1693.9139784946237,1987,93,5,22,6,2,14,20,14,4,6,1050.6,1572.8181818181818,1462.0,1856.0,1690.7857142857142,1991.8,1977.2857142857142,2079.25,948.1666666666666
35,180,2810.9795918367345,4884,147,5,23,6,2,25,50,20,10,6,2063.8,2778.782608695652,2824.5,4288.5,2523.4,2899.42,3147.8,3012.2,2054.1666666666665
35,270,4699.55497382199,8099,191,5,23,6,3,33,77,20,18,6,3920.2,5268.652173913043,5100.5,5376.666666666667,4420.69696969697,4512.662337662337,5674.0,4382.722222222223,4062.5
35,360,5857.630081300813,11665,246,5,23,6,3,43,108,20,32,6,5490.4,7479.521739130435,7121.833333333333,7607.333333333333,5610.883720930233,5433.194444444444,8277.35,4602.84375,5842.0
35,450,7368.712280701754,15419,285,5,23,6,3,51,128,21,42,6,7403.0,10304.608695652174,9199.333333333334,10024.666666666666,7079.64705882353,6846.9609375,10319.904761904761,5685.5952380952385,7967.666666666667
35,540,9160.120588235293,19853,340,5,31,6,3,61,158,21,49,6,10186.4,10862.032258064517,12157.5,13138.333333333334,8894.655737704918,8512.227848101265,13384.47619047619,7780.591836734694,10766.166666666666
35,630,10162.111979166666,24909,384,5,41,6,3,67,182,21,53,6,11830.4,10590.756097560976,14289.166666666666,15251.666666666666,10201.731343283582,9380.917582417582,15590.857142857143,9155.735849056604,12313.833333333334
35,720,11714.061503416857,31292,439,5,51,6,3,77,212,21,58,6,13994.0,11745.901960784313,16873.833333333332,18004.666666666668,11688.935064935065,10833.316037735849,18467.380952380954,11151.741379310344,14479.666666666666
50,1,568.36,10,50,2,6,5,5,9,3,5,10,5,575.0,623.1666666666666,580.8,623.6,546.4444444444445,539.3333333333334,522.0,553.7,564.8
50,90,1708.55421686747,1516,83,2,15,3,4,12,6,8,30,3,1099.5,1102.3333333333333,1202.0,2330.25,1892.5,1788.5,1788.375,1973.6666666666667,1063.6666666666667
50,180,2524.818181818182,3008,132,2,9,3,4,12,16,8,75,3,1607.5,1045.888888888889,2901.6666666666665,4331.75,2869.4166666666665,2241.75,2928.25,2603.64,1872.0
50,270,4339.954545454545,4277,176,2,9,3,4,12,21,8,114,3,4107.0,1935.3333333333333,5612.666666666667,7293.0,4703.25,4246.666666666667,4772.625,4343.535087719299,4409.0
50,360,5587.220779220779,5588,231,2,9,3,4,12,26,8,164,3,6425.0,2308.0,8223.666666666666,9923.75,6448.25,5753.2692307692305,6490.375,5449.670731707317,6675.666666666667
50,450,7028.487272727272,6947,275,2,9,3,4,12,30,8,204,3,8974.0,2547.4444444444443,10789.666666666666,12592.0,8325.333333333334,7393.366666666667,8077.375,6839.661764705882,9202.333333333334
50,540,8500.545454545454,8315,330,2,9,3,4,12,35,8,254,3,11711.5,3086.3333333333335,13713.0,15742.0,10389.166666666666,9079.885714285714,10109.5,8229.03937007874,12118.333333333334
50,630,10859.956873315365,9635,371,2,9,3,4,12,38,8,292,3,15037.0,3969.777777777778,17330.333333333332,19366.5,13196.5,11790.657894736842,12388.625,10552.592465753425,15638.666666666666
50,720,13123.676056338029,10952,426,2,9,3,4,12,43,8,342,3,18768.0,5184.222222222223,21400.666666666668,23406.0,16301.083333333334,14158.0,15408.75,12756.28947368421,19446.0
16,1,582.42,2,50,4,2,5,3,1,12,11,6,6,493.0,738.0,574.2,595.6666666666666,609.0,554.75,553.3636363636364,600.8333333333334,676.1666666666666
16,90,2683.7127659574467,1098,94,4,9,7,7,4,13,31,10,9,3259.75,2292.0,2903.0,2365.8571428571427,2100.25,3580.076923076923,2366.8387096774195,2905.7,2705.4444444444443
16,180,4957.731543624161,3324,149,4,10,7,7,7,39,40,26,9,6046.5,5341.3,6479.0,6238.571428571428,4488.571428571428,4248.692307692308,5206.7,4416.576923076923,5762.444444444444
16,270,6107.393782383419,5574,193,4,10,7,7,9,63,40,44,9,8038.25,7016.0,8946.142857142857,8668.285714285714,5942.444444444444,4971.68253968254,7456.6,4919.136363636364,7967.666666666667
16,360,8384.254032258064,7826,248,4,10,7,7,9,107,40,55,9,11944.75,11443.1,12863.42857142857,12885.857142857143,10153.888888888889,6246.102803738318,11491.3,7471.545454545455,11837.222222222223
16,450,10224.36301369863,10133,292,4,10,7,8,9,149,40,56,9,15186.75,15576.8,16162.285714285714,14404.5,13660.666666666666,7474.838926174497,15058.425,10118.75,14993.666666666666
16,540,12327.867435158501,12563,347,4,14,7,8,9,200,40,56,9,19020.0,15736.785714285714,20106.714285714286,18443.875,18208.444444444445,9145.31,19602.075,13323.625,18881.444444444445
16,630,13071.553846153845,15730,390,4,29,7,8,9,228,40,56,9,21011.0,10557.310344827587,22202.285714285714,20463.625,20610.555555555555,10085.662280701754,22266.4,14720.339285714286,20950.444444444445
16,720,14653.640449438202,20919,445,4,60,7,8,13,243,45,56,9,24117.75,8670.983333333334,25374.714285714286,23537.5,17548.53846153846,12609.028806584362,23325.71111111111,17533.785714285714,23838.11111111111
42,1,490.38,10,50,7,6,2,6,9,5,7,5,3,473.2857142857143,499.3333333333333,425.0,503.0,528.6666666666666,427.6,525.4285714285714,479.4,457.0
42,90,860.6046511627907,1700,86,4,17,2,7,18,13,15,7,3,549.5,708.7058823529412,612.0,931.1428571428571,835.8888888888889,942.1538461538462,944.5333333333333,1270.4285714285713,556.3333333333334
42,180,2503.0451127819547,3845,133,3,14,2,9,19,37,16,31,2,2014.3333333333333,1962.0714285714287,2759.5,2856.5555555555557,2668.0,2540.6216216216217,2777.125,2397.8387096774195,2351.5
42,270,4404.485875706215,5949,177,3,14,2,13,19,57,16,51,2,4338.0,4144.428571428572,5722.5,4634.846153846154,5269.736842105263,4190.859649122807,5215.4375,4023.9803921568628,4593.0
42,360,6639.866379310345,8019,232,3,14,2,18,19,82,16,76,2,7962.333333333333,7904.142857142857,9144.0,6621.5,8883.315789473685,6141.048780487805,8905.125,5747.6973684210525,8386.5
42,450,7580.865454545455,9999,275,3,14,2,22,19,101,16,96,2,9921.333333333334,10342.785714285714,11117.0,7478.045454545455,10949.78947368421,7003.663366336634,11083.5,6356.552083333333,10221.5
42,540,9289.205521472393,12232,326,3,15,2,27,19,124,16,118,2,13021.0,13077.2,14470.0,9030.518518518518,14239.0,8659.758064516129,14316.1875,7796.576271186441,13445.0
42,630,12671.18108108108,14773,370,3,19,2,35,19,149,16,125,2,17806.333333333332,15156.631578947368,19439.0,11309.085714285715,19264.736842105263,11719.979865771813,19405.9375,11626.208,18084.0
42,720,13364.604705882353,17769,425,3,33,2,45,19,180,16,125,2,20326.0,11243.575757575758,22092.0,11043.533333333333,21822.526315789473,12090.738888888889,22165.1875,13753.672,20992.5
55,1,598.12,8,50,11,5,5,5,6,4,5,7,2,592.0,668.4,579.2,615.2,647.0,628.5,504.8,554.5714285714286,639.0
55,90,2974.851063829787,1644,94,12,24,7,5,15,6,8,15,2,2855.0833333333335,2496.2083333333335,3218.285714285714,3937.2,2819.3333333333335,3479.8333333333335,3361.75,3193.5333333333333,2643.0
55,180,4005.1879194630874,4848,149,12,30,7,5,18,22,8,45,2,4223.0,3184.6,5363.428571428572,6824.0,4587.888888888889,3268.7727272727275,5665.0,3800.5333333333333,4028.0
55,270,4910.322916666667,7919,192,12,29,7,5,18,38,8,73,2,5341.083333333333,3538.7241379310344,7053.714285714285,9111.8,6099.166666666667,4042.6052631578946,7237.875,4781.958904109589,5370.5
55,360,6530.813765182186,11162,247,12,29,7,5,18,58,8,108,2,7788.5,5374.241379310345,10089.285714285714,12402.2,8710.944444444445,5295.637931034483,9692.375,6243.277777777777,7701.5
55,450,8230.268041237114,13923,291,12,29,7,5,18,74,8,136,2,10233.0,7327.793103448276,12958.285714285714,15300.6,11223.111111111111,6797.621621621622,12532.5,7844.985294117647,10138.5
55,540,10401.421965317919,17204,346,12,29,7,5,18,94,8,171,2,13686.916666666666,10262.172413793103,16821.571428571428,19352.8,14703.0,8779.22340425532,16071.875,9803.251461988304,13849.5
55,630,13028.907692307692,20409,390,12,29,7,5,18,110,8,199,2,17549.0,13682.034482758621,20950.428571428572,23644.2,18457.333333333332,11320.454545454546,19972.0,12242.11055276382,17797.5
55,720,13670.741573033707,23550,445,12,29,7,5,18,130,8,234,2,19854.416666666668,15671.379310344828,23435.14285714286,26203.2,20472.666666666668,11919.069230769232,22235.125,12648.935897435897,19988.0
45,1,547.12,8,50,2,6,6,9,7,4,4,6,6,571.0,569.1666666666666,551.3333333333334,520.1111111111111,588.0,521.25,625.5,449.6666666666667,568.1666666666666
45,90,1461.0,1733,90,2,23,7,9,15,6,14,8,6,836.5,1323.2608695652175,1151.2857142857142,1645.5555555555557,1651.6666666666667,1940.6666666666667,1293.642857142857,1991.625,1008.3333333333334
45,180,2551.020689655172,4946,145,2,26,7,10,17,26,15,36,6,1741.5,1682.423076923077,2475.4285714285716,3552.4,3100.235294117647,2500.5,2997.8,2694.0,1692.0
45,270,3507.322751322751,7793,189,2,26,7,14,17,42,15,60,6,2621.0,1960.6153846153845,4050.1428571428573,4294.857142857143,4463.411764705882,3352.2619047619046,4303.333333333333,3648.116666666667,3012.8333333333335
45,360,5384.6598360655735,10911,244,2,26,7,18,17,62,15,91,6,4899.0,3639.846153846154,6933.428571428572,6328.722222222223,6936.0,4995.612903225807,6794.8,5315.857142857143,5611.166666666667
45,450,6059.722222222223,14006,288,2,26,7,22,17,78,15,115,6,6282.5,4827.692307692308,8356.857142857143,6840.409090909091,8187.529411764706,5448.705128205128,8166.333333333333,5822.678260869565,6973.0
45,540,6688.365625,17166,320,2,26,7,24,17,90,15,133,6,7064.0,5425.884615384615,9749.57142857143,7648.291666666667,9221.0,6002.077777777778,9233.066666666668,6382.345864661655,8163.0
45,630,8313.425824175823,20313,364,2,26,7,28,17,106,15,157,6,9208.0,7485.038461538462,12389.142857142857,9063.357142857143,11582.411764705883,7581.2830188679245,11662.6,7858.363057324841,10557.166666666666
45,720,9681.933174224343,23567,419,2,26,7,33,17,126,15,187,6,11938.5,9854.653846153846,15030.714285714286,10261.969696969696,14091.941176470587,8866.753968253968,14057.933333333332,9019.2192513369,13089.166666666666
41,1,354.38,0,50,4,8,8,6,4,3,8,6,3,339.25,318.375,347.625,353.3333333333333,361.75,416.6666666666667,398.0,354.0,303.0
41,90,2139.531914893617,1989,94,5,25,8,6,4,12,16,15,3,1724.4,1882.52,2051.5,2774.8333333333335,3132.0,2223.0,2189.75,2231.4,1553.0
41,180,2913.541095890411,4905,146,5,22,8,10,4,27,22,45,3,2620.0,2160.4545454545455,3251.0,3335.6,4352.5,3065.925925925926,2991.0,2943.177777777778,2316.0
41,270,4221.363157894737,7464,190,5,22,8,18,4,39,22,69,3,4428.4,3082.318181818182,5320.25,3874.1666666666665,6358.75,4209.717948717948,4861.363636363636,4228.507246376812,3826.0
41,360,6305.971428571429,10018,245,5,22,8,28,4,54,22,99,3,7404.0,5140.590909090909,8549.0,5671.714285714285,9055.75,6062.925925925926,7729.909090909091,6195.686868686868,6866.0
41,450,8050.993079584775,12559,289,5,22,8,36,4,66,22,123,3,9973.2,7001.909090909091,11431.25,7259.111111111111,11306.0,7699.651515151515,10292.318181818182,7818.845528455285,9500.333333333334
41,540,9917.959302325582,15084,344,5,22,8,46,4,81,22,153,3,13098.2,9672.363636363636,14773.25,8922.021739130434,14340.75,9425.0,13382.818181818182,9489.849673202614,12579.666666666666
41,630,11195.79381443299,17636,388,5,22,8,54,4,93,22,177,3,15797.4,11442.09090909091,17394.875,10080.277777777777,16867.25,10651.064516129032,15686.272727272728,10628.265536723164,15147.333333333334
41,720,13272.112866817155,20413,443,5,22,8,64,4,108,22,207,3,19425.6,14303.818181818182,21184.375,12055.84375,20315.25,12738.388888888889,19122.545454545456,12526.92270531401,18636.333333333332
52,1,580.94,7,50,3,6,3,5,7,7,5,8,6,527.0,674.1666666666666,639.3333333333334,614.6,562.0,569.0,555.6,562.75,538.8333333333334
52,90,2011.774193548387,1365,93,3,14,3,8,13,16,11,18,7,1842.0,1937.2857142857142,2140.6666666666665,2324.875,2148.3846153846152,2007.25,2062.5454545454545,1912.111111111111,1753.5714285714287
52,180,4041.513698630137,3181,146,3,13,3,8,13,39,12,48,7,4439.0,4260.307692307692,5097.333333333333,5920.75,5112.461538461538,3532.74358974359,4833.166666666667,3435.7083333333335,4507.285714285715
52,270,5053.8359788359785,5036,189,3,13,3,8,13,64,12,66,7,6311.666666666667,6003.615384615385,7152.666666666667,8089.625,6988.923076923077,4124.296875,6452.0,4450.893939393939,6574.857142857143
52,360,6980.122950819672,6883,244,3,13,3,8,13,99,12,86,7,9747.666666666666,10359.923076923076,10865.333333333334,11561.75,10708.076923076924,5526.252525252526,9998.75,6248.279069767442,10071.0
52,450,9133.625,8900,288,3,23,3,8,13,127,12,92,7,13144.0,9426.652173913044,14399.333333333334,15068.625,14368.76923076923,7488.763779527559,13834.5,8834.467391304348,13405.714285714286
52,540,11306.36443148688,12141,343,3,41,3,8,15,161,13,92,7,16869.666666666668,9235.731707317073,18226.333333333332,18832.625,16111.866666666667,9429.173913043478,16858.53846153846,12438.45652173913,17170.714285714286
52,630,13589.945736434109,17073,387,3,63,3,8,15,183,13,92,7,20301.0,9752.952380952382,21464.333333333332,22443.75,19930.2,11745.131147540984,20747.23076923077,16073.423913043478,20463.714285714286
52,720,14339.138636363636,23827,440,3,91,3,8,15,208,13,92,7,22440.333333333332,9128.307692307691,23367.333333333332,24935.625,22572.4,12598.0,23119.76923076923,18751.380434782608,22426.14285714286
48,1,626.92,6,50,1,6,3,13,4,9,6,2,6,750.0,723.0,566.3333333333334,626.8461538461538,633.25,575.4444444444445,633.3333333333334,563.0,628.6666666666666
48,90,2720.563829787234,1667,94,1,23,3,16,10,21,12,2,6,2236.0,2527.4347826086955,2517.3333333333335,3186.875,2570.9,2662.4761904761904,2843.4166666666665,3692.5,2282.8333333333335
48,180,2864.6283783783783,4161,148,1,23,3,17,10,65,14,9,6,2392.0,3274.521739130435,3325.6666666666665,4119.941176470588,3566.7,2184.5538461538463,3751.5714285714284,2124.4444444444443,2823.0
48,270,5446.229166666667,6874,192,1,27,3,19,10,100,15,11,6,5284.0,6938.888888888889,6523.666666666667,6887.526315789473,7200.9,4390.12,7039.333333333333,4903.090909090909,5343.833333333333
48,360,7677.364372469636,10566,247,1,51,3,19,10,127,19,11,6,8321.0,7390.843137254902,9743.666666666666,10336.157894736842,11199.0,6748.629921259842,8989.526315789473,8447.545454545454,8774.5
48,450,9358.844827586207,16685,290,1,79,3,19,10,142,19,11,6,10375.0,7429.835443037975,12026.666666666666,12954.052631578947,14179.5,8979.859154929578,11755.736842105263,11839.272727272728,10666.666666666666
48,540,9706.16811594203,24697,345,1,95,3,19,10,181,19,11,6,10325.0,7673.073684210526,13361.0,14768.526315789473,15824.0,9074.872928176796,13657.578947368422,14573.09090909091,11347.666666666666
48,630,10091.08244680851,33194,376,1,99,3,19,10,208,19,11,6,10039.0,8323.070707070707,13639.333333333334,15851.631578947368,16597.1,9265.096153846154,14572.684210526315,16249.272727272728,11565.166666666666
48,720,9630.68445475638,41999,431,1,111,3,19,10,251,19,11,6,9888.0,8404.585585585586,13338.666666666666,16433.842105263157,17336.1,8504.8406374502,15242.894736842105,17320.81818181818,11258.166666666666
62,1,364.08,13,50,5,8,5,7,11,4,2,6,2,294.2,362.5,423.2,382.0,326.8181818181818,420.0,414.5,354.1666666666667,407.0
62,90,1749.6333333333334,1857,90,4,20,4,7,20,16,4,14,1,704.75,1437.75,1697.25,2052.714285714286,1902.8,1989.6875,2115.0,1815.2857142857142,970.0
62,180,2765.5,4094,142,4,19,4,7,26,39,4,38,1,1763.0,2125.3684210526317,3272.25,4173.142857142857,3035.0,2628.230769230769,3686.0,2767.3947368421054,1650.0
62,270,4178.0053763440865,6460,186,4,19,4,7,26,63,4,58,1,3619.0,3779.7368421052633,4989.75,6527.142857142857,5223.115384615385,3644.4761904761904,5895.0,4017.7758620689656,3155.0
62,360,7266.547717842323,8846,241,4,19,4,7,26,93,4,83,1,7922.5,8458.842105263158,9335.25,11237.857142857143,9751.153846153846,6304.89247311828,10594.0,6662.915662650603,7541.0
62,450,9782.442105263159,11228,285,4,19,4,7,26,117,4,103,1,11748.75,12890.21052631579,13206.0,15189.714285714286,13832.73076923077,8605.846153846154,14737.25,8741.058252427185,11122.0
62,540,10765.221238938053,13541,339,4,19,4,7,29,143,4,128,1,14543.25,15988.894736842105,15851.75,18012.14285714286,15168.310344827587,9675.797202797203,17970.25,9289.09375,13551.0
62,630,13110.475195822455,16181,383,4,24,4,7,33,159,7,144,1,18304.0,16659.625,19697.5,22040.571428571428,17189.727272727272,12394.811320754718,13428.285714285714,11566.805555555555,17537.0
62,720,15079.712328767124,19895,438,4,34,4,10,38,181,14,152,1,21978.25,15611.970588235294,23633.5,18603.9,18622.105263157893,14541.817679558011,9800.07142857143,14524.467105263158,20992.0
57,1,499.72,8,50,7,7,6,11,3,4,3,5,4,477.85714285714283,581.1428571428571,512.3333333333334,512.4545454545455,495.6666666666667,467.25,389.6666666666667,486.0,476.75
57,90,2386.3829787234044,2049,94,7,33,8,11,8,8,7,8,4,2184.4285714285716,2161.090909090909,2046.375,2930.5454545454545,2435.25,2712.5,2292.714285714286,3072.5,1823.75
57,180,2601.851063829787,5073,141,7,29,8,14,8,28,10,33,4,2190.285714285714,2247.8275862068967,2222.25,3685.0714285714284,3114.375,2545.6785714285716,2691.2,2700.2727272727275,1189.5
